date,code,name,amount,cost,top_cost,low_cost,middle_cost
2020-12-18,104,갈치,530.3,11981000,35000,5833,26000
2020-12-19,104,갈치,1277,24871000,32000,3666,26000
2020-12-20,104,갈치,1277,24871000,32000,3666,26000
2020-12-21,104,갈치,1824.8,38642000,32400,2500,27600
2020-12-22,104,갈치,1824.8,38642000,32400,2500,27600
2020-12-23,104,갈치,2131.6,43918000,29000,3333,25000
2020-12-24,104,갈치,2514.2,40422000,33000,3333,14166.5
2020-12-25,104,갈치,3250.8,46488500,32000,2166,15300
2020-12-26,104,갈치,1921.9,30348000,32000,1000,11691
2020-12-27,104,갈치,1921.9,30348000,32000,1000,11691
2020-12-28,104,갈치,2540.3,38634000,32000,1500,21000
2020-12-29,104,갈치,2740.1,40085000,33000,1000,4562.5
2020-12-30,104,갈치,1476.7,28137000,36000,3142,26000
2020-12-31,104,갈치,1708.6,31288000,34000,4081,23000
2021-01-01,104,갈치,1708.6,31288000,34000,4081,23000
2021-01-02,104,갈치,2312.5,37305000,34000,3000,20277.5
2021-01-03,104,갈치,2312.5,37305000,34000,3000,20277.5
2021-01-04,104,갈치,864.1,16718000,46000,3333,25000
2021-01-05,104,갈치,1913.5,39099000,37000,2400,29200
2021-01-06,104,갈치,1690.7,36652000,35416,2500,10500
2021-01-07,104,갈치,2076.5,33122000,33000,1700,6666
2021-01-08,104,갈치,1636.5,19437000,30000,1300,12550
2021-01-09,104,갈치,1636.5,19437000,30000,1300,12550
2021-01-10,104,갈치,1636.5,19437000,30000,1300,12550
2021-01-11,104,갈치,2067.1,36318000,35416,5294,25000
2021-01-12,104,갈치,698.5,17319000,37000,6500,19916.5
2021-01-13,104,갈치,1121.1,28936000,38000,8000,31777
2021-01-14,104,갈치,2484.1,51555000,35416,3500,18973.5
2021-01-15,104,갈치,1582.5,27179000,40000,4000,25555
2021-01-16,104,갈치,2491.2,50568000,37000,4000,17600
2021-01-17,104,갈치,2491.2,50568000,37000,4000,17600
2021-01-18,104,갈치,3130.8,52983000,33000,1500,9933
2021-01-19,104,갈치,1482,23111000,33333,4166,15634.5
2021-01-20,104,갈치,902.9,14493000,34000,4166,17428
2021-01-21,104,갈치,682.4,14341000,42000,4333,24000
2021-01-22,104,갈치,587,11195000,36000,4666,22000
2021-01-23,104,갈치,1524,43778000,52083,4666,39000
2021-01-24,104,갈치,1524,43778000,52083,4666,39000
2021-01-25,104,갈치,2506.7,53818000,46250,3793,28125
2021-01-26,104,갈치,1128.4,34176000,38000,7058,21470
2021-01-27,104,갈치,1536.5,37935000,36000,5000,19947
2021-01-28,104,갈치,1179.9,27345000,35400,4166,22600
2021-01-29,104,갈치,2586.1,45969000,34000,2500,8376.5
2021-01-30,104,갈치,1361.9,31350000,34000,3833,27333
2021-01-31,104,갈치,1361.9,31350000,34000,3833,27333
2021-02-01,104,갈치,826.7,14077000,31250,5000,18037.5
2021-02-02,104,갈치,1264,27960000,36000,2727,30444
2021-02-03,104,갈치,1046.2,23148000,39583,4166,30000
2021-02-04,104,갈치,337.5,5241000,29555,5500,23714
2021-02-05,104,갈치,1374,39272000,40000,5000,35500
2021-02-06,104,갈치,1810.2,47127000,38000,5000,31111
2021-02-07,104,갈치,1810.2,47127000,38000,5000,31111
2021-02-08,104,갈치,2431.7,57560000,33000,4333,21705
2021-02-09,104,갈치,1865.5,37489000,33333,3333,18000
2021-02-10,104,갈치,2457,44990000,33000,2400,12650
2021-02-11,104,갈치,604,15795000,32000,6333,31000
2021-02-12,104,갈치,604,15795000,32000,6333,31000
2021-02-13,104,갈치,604,15795000,32000,6333,31000
2021-02-14,104,갈치,604,15795000,32000,6333,31000
2021-02-15,104,갈치,535.2,8960000,30000,7500,21428
2021-02-16,104,갈치,1374.7,37251000,32291,5000,10750
2021-02-17,104,갈치,805.1,24686000,33333,11428,31111
2021-02-18,104,갈치,1240.4,34694000,33000,5000,30000
2021-02-19,104,갈치,1106.4,29939000,30000,22000,27500
2021-02-20,104,갈치,687.1,18308000,29000,10600,27000
2021-02-21,104,갈치,687.1,18308000,29000,10600,27000
2021-02-22,104,갈치,596.5,11512000,29000,666,18750
2021-02-23,104,갈치,860,20610000,31000,7666,16833
2021-02-24,104,갈치,723.3,14288000,26000,7500,19680.5
2021-02-25,104,갈치,705.5,14268000,29166,8333,20000
2021-02-26,104,갈치,844.5,17283000,26000,5000,21000
2021-02-27,104,갈치,561,10306000,26000,16250,18000
2021-02-28,104,갈치,561,10306000,26000,16250,18000
2021-03-01,104,갈치,858.3,17071000,27000,9411,17777
2021-03-02,104,갈치,185.5,3176000,28000,13333,18571
2021-03-03,104,갈치,126,1575000,12500,12500,12500
2021-03-04,104,갈치,126,1575000,12500,12500,12500
2021-03-05,104,갈치,1330.8,35454000,31000,8000,26600
2021-03-06,104,갈치,719,16913000,31000,6750,16937.5
2021-03-07,104,갈치,719,16913000,31000,6750,16937.5
2021-03-08,104,갈치,976.5,27842000,31111,21714,29000
2021-03-09,104,갈치,1352,34164000,28000,6666,25400
2021-03-10,104,갈치,497.8,10908000,26000,18888,21250
2021-03-11,104,갈치,406,8515000,55000,7166,22916
2021-03-12,104,갈치,380.3,7436000,31250,4500,23562.5
2021-03-13,104,갈치,1046.7,15012000,27000,2200,21000
2021-03-14,104,갈치,1046.7,15012000,27000,2200,21000
2021-03-15,104,갈치,450.3,9314000,31250,5333,22000
2021-03-16,104,갈치,1633.1,31042000,26666,2500,15075
2021-03-17,104,갈치,125.5,3160000,29000,11666,27777
2021-03-18,104,갈치,125.5,3160000,29000,11666,27777
2021-03-19,104,갈치,703.9,18350000,28000,14000,26000
2021-03-20,104,갈치,165.1,4070000,33000,3000,27888
2021-03-21,104,갈치,165.1,4070000,33000,3000,27888
2021-03-22,104,갈치,537,9313000,32000,3250,21275
2021-03-23,104,갈치,467.5,9125000,36000,3000,17500
2021-03-24,104,갈치,360.8,12149000,39000,7833,36000
2021-03-25,104,갈치,170,6485000,40000,27142,38000
2021-03-26,104,갈치,761,24394000,40000,7500,35555.5
2021-03-27,104,갈치,1068.5,32372000,43750,8000,33000
